DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
1972-09-14 23:00:00,,19730300,1.0173,19721200,,19730300
1972-09-15 23:00:00,,19730300,1.0184,19721200,,19730300
1972-09-18 23:00:00,,19730300,1.0181,19721200,,19730300
1972-09-19 23:00:00,,19730300,1.0176,19721200,,19730300
1972-09-20 23:00:00,,19730300,1.0171,19721200,,19730300
1972-09-21 23:00:00,,19730300,1.0179,19721200,,19730300
1972-09-22 23:00:00,,19730300,1.0179,19721200,,19730300
1972-09-25 23:00:00,,19730300,1.0177,19721200,,19730300
1972-09-26 23:00:00,,19730300,1.017,19721200,,19730300
1972-09-27 23:00:00,,19730300,1.0167,19721200,,19730300
1972-09-28 23:00:00,,19730300,1.0167,19721200,,19730300
1972-09-29 23:00:00,,19730300,1.0165,19721200,,19730300
1972-10-02 23:00:00,,19730300,1.0159,19721200,,19730300
1972-10-03 23:00:00,,19730300,1.0163,19721200,,19730300
1972-10-04 23:00:00,,19730300,1.0166,19721200,,19730300
1972-10-05 23:00:00,,19730300,1.0164,19721200,,19730300
1972-10-06 23:00:00,,19730300,1.0163,19721200,,19730300
1972-10-09 23:00:00,,19730300,1.0163,19721200,,19730300
1972-10-10 23:00:00,,19730300,1.017,19721200,,19730300
1972-10-11 23:00:00,,19730300,1.0173,19721200,,19730300
1972-10-12 23:00:00,,19730300,1.0172,19721200,,19730300
1972-10-13 23:00:00,,19730300,1.0175,19721200,,19730300
1972-10-16 23:00:00,,19730300,1.0181,19721200,,19730300
1972-10-17 23:00:00,,19730300,1.0186,19721200,,19730300
1972-10-18 23:00:00,,19730300,1.018,19721200,,19730300
1972-10-19 23:00:00,,19730300,1.0182,19721200,,19730300
1972-10-20 23:00:00,,19730300,1.0181,19721200,,19730300
1972-10-23 23:00:00,,19730300,1.0178,19721200,,19730300
1972-10-24 23:00:00,,19730300,1.0176,19721200,,19730300
1972-10-25 23:00:00,,19730300,1.0178,19721200,,19730300
1972-10-26 23:00:00,,19730300,1.0178,19721200,,19730300
1972-10-27 23:00:00,,19730300,1.0177,19721200,,19730300
1972-10-30 23:00:00,,19730300,1.0176,19721200,,19730300
1972-10-31 23:00:00,,19730300,1.017,19721200,,19730300
1972-11-01 23:00:00,,19730300,1.0159,19721200,,19730300
1972-11-02 23:00:00,,19730300,1.0146,19721200,,19730300
1972-11-03 23:00:00,,19730300,1.0139,19721200,,19730300
1972-11-06 23:00:00,,19730300,1.014,19721200,,19730300
1972-11-08 23:00:00,,19730300,1.0138,19721200,,19730300
1972-11-09 23:00:00,,19730300,1.0139,19721200,,19730300
1972-11-10 23:00:00,,19730300,1.014,19721200,,19730300
1972-11-13 23:00:00,,19730300,1.0143,19721200,,19730300
1972-11-14 23:00:00,,19730300,1.0141,19721200,,19730300
1972-11-15 23:00:00,,19730300,1.014,19721200,,19730300
1972-11-16 23:00:00,,19730300,1.0141,19721200,,19730300
1972-11-17 23:00:00,,19730300,1.0142,19721200,,19730300
1972-11-20 23:00:00,,19730300,1.014,19721200,,19730300
1972-11-21 23:00:00,,19730300,1.014,19721200,,19730300
1972-11-22 23:00:00,,19730300,1.0137,19721200,,19730300
1972-11-27 23:00:00,,19730300,1.0123,19721200,,19730300
1972-11-28 23:00:00,,19730300,1.0092,19721200,,19730300
1972-11-29 23:00:00,,19730300,1.0073,19721200,,19730300
1972-11-30 23:00:00,,19730300,1.005,19721200,,19730300
1972-12-01 23:00:00,1.0054,19730300,1.0054,19721200,1.0054,19730300
1972-12-04 23:00:00,1.0046,19730300,1.0048,19721200,1.0046,19730300
1972-12-05 23:00:00,1.0035,19730300,1.0038,19721200,1.0035,19730300
1972-12-06 23:00:00,1.0011,19730300,1.0016,19721200,1.0011,19730300
1972-12-07 23:00:00,0.9987,19730300,0.9986,19721200,0.9987,19730300
1972-12-08 23:00:00,0.999,19730300,0.9988,19721200,0.999,19730300
1972-12-11 23:00:00,0.9994,19730300,0.9994,19721200,0.9994,19730300
1972-12-12 23:00:00,1.0025,19730300,1.0022,19721200,1.0025,19730300
1972-12-13 23:00:00,1.0038,19730300,1.0031,19721200,1.0038,19730300
1972-12-14 23:00:00,,19730600,1.0035,19730300,,19730600
1972-12-15 23:00:00,,19730600,1.0036,19730300,,19730600
1972-12-18 23:00:00,,19730600,1.0035,19730300,,19730600
1972-12-19 23:00:00,,19730600,1.0054,19730300,,19730600
1972-12-20 23:00:00,,19730600,1.0084,19730300,,19730600
1972-12-21 23:00:00,,19730600,1.0078,19730300,,19730600
1972-12-22 23:00:00,,19730600,1.0053,19730300,,19730600
1972-12-26 23:00:00,,19730600,1.004,19730300,,19730600
1972-12-27 23:00:00,,19730600,1.0052,19730300,,19730600
1972-12-29 23:00:00,,19730600,1.0051,19730300,,19730600
1973-01-02 23:00:00,,19730600,1.004,19730300,,19730600
1973-01-03 23:00:00,,19730600,1.0024,19730300,,19730600
1973-01-04 23:00:00,,19730600,1.0023,19730300,,19730600
1973-01-05 23:00:00,,19730600,1.0026,19730300,,19730600
1973-01-08 23:00:00,,19730600,1.002,19730300,,19730600
1973-01-09 23:00:00,,19730600,1.0013,19730300,,19730600
1973-01-10 23:00:00,,19730600,1.0018,19730300,,19730600
1973-01-11 23:00:00,,19730600,1.0022,19730300,,19730600
1973-01-12 23:00:00,,19730600,1.0014,19730300,,19730600
1973-01-15 23:00:00,,19730600,1.001,19730300,,19730600
1973-01-16 23:00:00,,19730600,1.0023,19730300,,19730600
1973-01-17 23:00:00,,19730600,1.002,19730300,,19730600
1973-01-18 23:00:00,,19730600,1.0009,19730300,,19730600
1973-01-19 23:00:00,,19730600,1.0012,19730300,,19730600
1973-01-22 23:00:00,,19730600,1.0012,19730300,,19730600
1973-01-23 23:00:00,,19730600,1.0015,19730300,,19730600
1973-01-24 23:00:00,,19730600,1.0016,19730300,,19730600
1973-01-26 23:00:00,,19730600,1.002,19730300,,19730600
1973-01-29 23:00:00,,19730600,1.0033,19730300,,19730600
1973-01-30 23:00:00,,19730600,1.0026,19730300,,19730600
1973-01-31 23:00:00,,19730600,1.0023,19730300,,19730600
1973-02-01 23:00:00,,19730600,1.0025,19730300,,19730600
1973-02-02 23:00:00,,19730600,1.0022,19730300,,19730600
1973-02-05 23:00:00,,19730600,1.0018,19730300,,19730600
1973-02-06 23:00:00,,19730600,1.0014,19730300,,19730600
1973-02-07 23:00:00,,19730600,1.0008,19730300,,19730600
1973-02-08 23:00:00,,19730600,1.0016,19730300,,19730600
1973-02-09 23:00:00,,19730600,1.0032,19730300,,19730600
1973-02-12 23:00:00,,19730600,1.0082,19730300,,19730600
1973-02-13 23:00:00,,19730600,1.0105,19730300,,19730600
1973-02-14 23:00:00,,19730600,1.0155,19730300,,19730600
1973-02-15 23:00:00,,19730600,1.0105,19730300,,19730600
1973-02-16 23:00:00,,19730600,1.009,19730300,,19730600
1973-02-20 23:00:00,,19730600,1.01,19730300,,19730600
1973-02-21 23:00:00,,19730600,1.0104,19730300,,19730600
1973-02-22 23:00:00,,19730600,1.0104,19730300,,19730600
1973-02-23 23:00:00,,19730600,1.0104,19730300,,19730600
1973-02-26 23:00:00,,19730600,1.01,19730300,,19730600
1973-02-27 23:00:00,,19730600,1.008,19730300,,19730600
1973-02-28 23:00:00,,19730600,1.008,19730300,,19730600
1973-03-01 23:00:00,,19730600,1.008,19730300,,19730600
1973-03-02 23:00:00,1.0125,19730600,1.0078,19730300,1.0125,19730600
1973-03-05 23:00:00,1.0087,19730600,1.006,19730300,1.0087,19730600
1973-03-06 23:00:00,1.0073,19730600,1.0043,19730300,1.0073,19730600
1973-03-07 23:00:00,1.0074,19730600,1.0021,19730300,1.0074,19730600
1973-03-08 23:00:00,1.008,19730600,1.0025,19730300,1.008,19730600
1973-03-09 23:00:00,1.0102,19730600,1.0028,19730300,1.0102,19730600
1973-03-12 23:00:00,1.01,19730600,1.0029,19730300,1.01,19730600
1973-03-13 23:00:00,1.01,19730600,1.0038,19730300,1.01,19730600
1973-03-14 23:00:00,,19730900,1.0098,19730600,,19730900
1973-03-15 23:00:00,,19730900,1.0092,19730600,,19730900
1973-03-16 23:00:00,,19730900,1.0089,19730600,,19730900
1973-03-19 23:00:00,,19730900,1.0085,19730600,,19730900
1973-03-20 23:00:00,,19730900,1.0077,19730600,,19730900
1973-03-21 23:00:00,,19730900,1.0082,19730600,,19730900
1973-03-22 23:00:00,,19730900,1.0085,19730600,,19730900
1973-03-23 23:00:00,,19730900,1.009,19730600,,19730900
1973-03-26 23:00:00,,19730900,1.0087,19730600,,19730900
1973-03-27 23:00:00,,19730900,1.0086,19730600,,19730900
1973-03-28 23:00:00,,19730900,1.0082,19730600,,19730900
1973-03-29 23:00:00,,19730900,1.008,19730600,,19730900
1973-03-30 23:00:00,,19730900,1.0056,19730600,,19730900
1973-04-02 23:00:00,,19730900,1.0058,19730600,,19730900
1973-04-03 23:00:00,,19730900,1.006,19730600,,19730900
1973-04-04 23:00:00,,19730900,1.0065,19730600,,19730900
1973-04-05 23:00:00,,19730900,1.0051,19730600,,19730900
1973-04-06 23:00:00,,19730900,1.004,19730600,,19730900
1973-04-09 23:00:00,,19730900,1.005,19730600,,19730900
1973-04-10 23:00:00,,19730900,1.005,19730600,,19730900
1973-04-11 23:00:00,,19730900,1.0049,19730600,,19730900
1973-04-12 23:00:00,,19730900,1.0023,19730600,,19730900
1973-04-13 23:00:00,,19730900,1.003,19730600,,19730900
1973-04-16 23:00:00,,19730900,1.0032,19730600,,19730900
1973-04-17 23:00:00,,19730900,1.0024,19730600,,19730900
1973-04-18 23:00:00,,19730900,1.0019,19730600,,19730900
1973-04-19 23:00:00,,19730900,1.0019,19730600,,19730900
1973-04-23 23:00:00,,19730900,1.0009,19730600,,19730900
1973-04-24 23:00:00,,19730900,0.9995,19730600,,19730900
1973-04-25 23:00:00,,19730900,0.9994,19730600,,19730900
1973-04-26 23:00:00,,19730900,0.9995,19730600,,19730900
1973-04-27 23:00:00,,19730900,0.9988,19730600,,19730900
1973-04-30 23:00:00,,19730900,0.999,19730600,,19730900
1973-05-01 23:00:00,,19730900,0.9989,19730600,,19730900
1973-05-02 23:00:00,,19730900,0.9985,19730600,,19730900
1973-05-03 23:00:00,,19730900,0.9989,19730600,,19730900
1973-05-04 23:00:00,,19730900,0.999,19730600,,19730900
1973-05-07 23:00:00,,19730900,1.0,19730600,,19730900
1973-05-08 23:00:00,,19730900,1.0002,19730600,,19730900
1973-05-09 23:00:00,,19730900,1.0002,19730600,,19730900
1973-05-10 23:00:00,,19730900,1.0,19730600,,19730900
1973-05-11 23:00:00,,19730900,1.0,19730600,,19730900
1973-05-14 23:00:00,,19730900,1.0024,19730600,,19730900
1973-05-15 23:00:00,,19730900,1.001,19730600,,19730900
1973-05-16 23:00:00,,19730900,1.0,19730600,,19730900
1973-05-17 23:00:00,,19730900,1.0,19730600,,19730900
1973-05-18 23:00:00,,19730900,0.9993,19730600,,19730900
1973-05-21 23:00:00,,19730900,1.001,19730600,,19730900
1973-05-22 23:00:00,,19730900,1.001,19730600,,19730900
1973-05-23 23:00:00,,19730900,1.0005,19730600,,19730900
1973-05-24 23:00:00,,19730900,1.0005,19730600,,19730900
1973-05-25 23:00:00,,19730900,1.001,19730600,,19730900
1973-05-29 23:00:00,,19730900,1.002,19730600,,19730900
1973-05-30 23:00:00,,19730900,1.003,19730600,,19730900
1973-05-31 23:00:00,,19730900,1.0059,19730600,,19730900
1973-06-01 23:00:00,,19730900,1.0047,19730600,,19730900
1973-06-04 23:00:00,1.0064,19730900,1.0038,19730600,1.0064,19730900
1973-06-05 23:00:00,1.006,19730900,1.0029,19730600,1.006,19730900
1973-06-06 23:00:00,1.0048,19730900,1.0019,19730600,1.0048,19730900
1973-06-07 23:00:00,1.0045,19730900,1.0016,19730600,1.0045,19730900
1973-06-08 23:00:00,1.004,19730900,1.0027,19730600,1.004,19730900
1973-06-11 23:00:00,1.006,19730900,1.0023,19730600,1.006,19730900
1973-06-12 23:00:00,1.0052,19730900,1.002,19730600,1.0052,19730900
1973-06-13 23:00:00,1.0044,19730900,1.0011,19730600,1.0044,19730900
1973-06-14 23:00:00,,19731200,1.0054,19730900,,19731200
1973-06-15 23:00:00,,19731200,1.0038,19730900,,19731200
1973-06-18 23:00:00,,19731200,1.005,19730900,,19731200
1973-06-19 23:00:00,,19731200,1.005,19730900,,19731200
1973-06-20 23:00:00,,19731200,1.0051,19730900,,19731200
1973-06-21 23:00:00,,19731200,1.005,19730900,,19731200
1973-06-22 23:00:00,,19731200,1.0057,19730900,,19731200
1973-06-25 23:00:00,,19731200,1.0078,19730900,,19731200
1973-06-26 23:00:00,,19731200,1.0072,19730900,,19731200
1973-06-27 23:00:00,,19731200,1.0067,19730900,,19731200
1973-06-28 23:00:00,,19731200,1.0067,19730900,,19731200
1973-06-29 23:00:00,,19731200,1.0067,19730900,,19731200
1973-07-02 23:00:00,,19731200,1.0067,19730900,,19731200
1973-07-03 23:00:00,,19731200,1.005,19730900,,19731200
1973-07-05 23:00:00,,19731200,1.005,19730900,,19731200
1973-07-06 23:00:00,,19731200,1.0105,19730900,,19731200
1973-07-09 23:00:00,,19731200,1.009,19730900,,19731200
1973-07-10 23:00:00,,19731200,1.006,19730900,,19731200
1973-07-11 23:00:00,,19731200,1.004,19730900,,19731200
1973-07-12 23:00:00,,19731200,1.0055,19730900,,19731200
1973-07-13 23:00:00,,19731200,1.0055,19730900,,19731200
1973-07-16 23:00:00,,19731200,1.003,19730900,,19731200
1973-07-17 23:00:00,,19731200,1.002,19730900,,19731200
1973-07-18 23:00:00,,19731200,1.002,19730900,,19731200
1973-07-19 23:00:00,,19731200,1.002,19730900,,19731200
1973-07-20 23:00:00,,19731200,1.002,19730900,,19731200
1973-07-23 23:00:00,,19731200,1.002,19730900,,19731200
1973-07-24 23:00:00,,19731200,1.002,19730900,,19731200
1973-07-25 23:00:00,,19731200,1.003,19730900,,19731200
1973-07-26 23:00:00,,19731200,1.003,19730900,,19731200
1973-07-27 23:00:00,,19731200,1.003,19730900,,19731200
1973-07-30 23:00:00,,19731200,1.003,19730900,,19731200
1973-07-31 23:00:00,,19731200,1.003,19730900,,19731200
1973-08-01 23:00:00,,19731200,1.003,19730900,,19731200
1973-08-02 23:00:00,,19731200,1.003,19730900,,19731200
1973-08-03 23:00:00,,19731200,1.003,19730900,,19731200
1973-08-06 23:00:00,,19731200,1.0025,19730900,,19731200
1973-08-07 23:00:00,,19731200,1.0025,19730900,,19731200
1973-08-08 23:00:00,,19731200,1.0015,19730900,,19731200
1973-08-09 23:00:00,,19731200,1.0015,19730900,,19731200
1973-08-10 23:00:00,,19731200,1.0015,19730900,,19731200
1973-08-13 23:00:00,,19731200,1.0015,19730900,,19731200
1973-08-14 23:00:00,,19731200,1.0015,19730900,,19731200
1973-08-15 23:00:00,,19731200,1.0008,19730900,,19731200
1973-08-16 23:00:00,,19731200,1.0008,19730900,,19731200
1973-08-17 23:00:00,,19731200,1.0008,19730900,,19731200
1973-08-20 23:00:00,,19731200,1.0008,19730900,,19731200
1973-08-21 23:00:00,,19731200,1.0008,19730900,,19731200
1973-08-22 23:00:00,,19731200,1.0008,19730900,,19731200
1973-08-23 23:00:00,,19731200,1.0008,19730900,,19731200
1973-08-24 23:00:00,,19731200,1.0008,19730900,,19731200
1973-08-27 23:00:00,,19731200,1.0008,19730900,,19731200
1973-08-28 23:00:00,,19731200,1.0008,19730900,,19731200
1973-08-29 23:00:00,,19731200,1.0008,19730900,,19731200
1973-08-30 23:00:00,,19731200,1.0008,19730900,,19731200
1973-08-31 23:00:00,,19731200,1.0008,19730900,,19731200
1973-09-04 23:00:00,1.006,19731200,1.0008,19730900,1.006,19731200
1973-09-05 23:00:00,1.004,19731200,1.0008,19730900,1.004,19731200
1973-09-06 23:00:00,1.004,19731200,1.0008,19730900,1.004,19731200
1973-09-07 23:00:00,1.004,19731200,1.0,19730900,1.004,19731200
1973-09-10 23:00:00,0.9996,19731200,0.9994,19730900,0.9996,19731200
1973-09-11 23:00:00,0.9996,19731200,0.991,19730900,0.9996,19731200
1973-09-12 23:00:00,0.9996,19731200,0.991,19730900,0.9996,19731200
1973-09-13 23:00:00,0.9996,19731200,0.991,19730900,0.9996,19731200
1973-09-14 23:00:00,,19740300,0.9996,19731200,,19740300
1973-09-17 23:00:00,,19740300,0.9996,19731200,,19740300
1973-09-18 23:00:00,,19740300,0.9969,19731200,,19740300
1973-09-19 23:00:00,,19740300,0.9969,19731200,,19740300
1973-09-20 23:00:00,,19740300,0.9969,19731200,,19740300
1973-09-21 23:00:00,,19740300,0.9969,19731200,,19740300
1973-09-24 23:00:00,,19740300,0.9969,19731200,,19740300
1973-09-25 23:00:00,,19740300,0.9969,19731200,,19740300
1973-09-26 23:00:00,,19740300,0.9969,19731200,,19740300
1973-09-27 23:00:00,,19740300,0.9969,19731200,,19740300
1973-09-28 23:00:00,,19740300,0.9985,19731200,,19740300
1973-10-01 23:00:00,,19740300,0.9985,19731200,,19740300
1973-10-02 23:00:00,,19740300,0.9985,19731200,,19740300
1973-10-03 23:00:00,,19740300,0.9985,19731200,,19740300
1973-10-04 23:00:00,,19740300,0.998,19731200,,19740300
1973-10-05 23:00:00,,19740300,0.998,19731200,,19740300
1973-10-08 23:00:00,,19740300,0.998,19731200,,19740300
1973-10-09 23:00:00,,19740300,0.998,19731200,,19740300
1973-10-10 23:00:00,,19740300,0.998,19731200,,19740300
1973-10-11 23:00:00,,19740300,0.998,19731200,,19740300
1973-10-12 23:00:00,,19740300,0.998,19731200,,19740300
1973-10-15 23:00:00,,19740300,0.9981,19731200,,19740300
1973-10-16 23:00:00,,19740300,0.9993,19731200,,19740300
1973-10-17 23:00:00,,19740300,0.9993,19731200,,19740300
1973-10-18 23:00:00,,19740300,0.9993,19731200,,19740300
1973-10-19 23:00:00,,19740300,1.0005,19731200,,19740300
1973-10-22 23:00:00,,19740300,1.0005,19731200,,19740300
1973-10-23 23:00:00,,19740300,1.002,19731200,,19740300
1973-10-24 23:00:00,,19740300,1.002,19731200,,19740300
1973-10-25 23:00:00,,19740300,1.0045,19731200,,19740300
1973-10-26 23:00:00,,19740300,1.0045,19731200,,19740300
1973-10-29 23:00:00,,19740300,1.0045,19731200,,19740300
1973-10-30 23:00:00,,19740300,1.0045,19731200,,19740300
1973-10-31 23:00:00,,19740300,1.0045,19731200,,19740300
1973-11-01 23:00:00,,19740300,1.0045,19731200,,19740300
1973-11-02 23:00:00,,19740300,1.0045,19731200,,19740300
1973-11-05 23:00:00,,19740300,1.0045,19731200,,19740300
1973-11-06 23:00:00,,19740300,1.0045,19731200,,19740300
1973-11-07 23:00:00,,19740300,1.0035,19731200,,19740300
1973-11-08 23:00:00,,19740300,1.003,19731200,,19740300
1973-11-09 23:00:00,,19740300,1.003,19731200,,19740300
1973-11-12 23:00:00,,19740300,1.001,19731200,,19740300
1973-11-13 23:00:00,,19740300,1.002,19731200,,19740300
1973-11-14 23:00:00,,19740300,0.9988,19731200,,19740300
1973-11-15 23:00:00,,19740300,1.0,19731200,,19740300
1973-11-16 23:00:00,,19740300,1.0,19731200,,19740300
1973-11-19 23:00:00,,19740300,1.001,19731200,,19740300
1973-11-20 23:00:00,,19740300,1.001,19731200,,19740300
1973-11-21 23:00:00,,19740300,1.0025,19731200,,19740300
1973-11-26 23:00:00,,19740300,1.0015,19731200,,19740300
1973-11-27 23:00:00,,19740300,1.0015,19731200,,19740300
1973-11-28 23:00:00,,19740300,1.0015,19731200,,19740300
1973-11-29 23:00:00,,19740300,1.0015,19731200,,19740300
1973-11-30 23:00:00,,19740300,1.0015,19731200,,19740300
1973-12-03 23:00:00,1.0006,19740300,1.001,19731200,1.0006,19740300
1973-12-04 23:00:00,1.0006,19740300,0.9998,19731200,1.0006,19740300
1973-12-05 23:00:00,1.0006,19740300,0.9998,19731200,1.0006,19740300
1973-12-06 23:00:00,1.0006,19740300,0.9998,19731200,1.0006,19740300
1973-12-07 23:00:00,1.0008,19740300,0.9998,19731200,1.0008,19740300
1973-12-10 23:00:00,1.0008,19740300,0.9998,19731200,1.0008,19740300
1973-12-11 23:00:00,1.0008,19740300,0.9998,19731200,1.0008,19740300
1973-12-12 23:00:00,1.0008,19740300,0.9998,19731200,1.0008,19740300
1973-12-13 23:00:00,1.0001,19740300,1.0001,19731200,1.0001,19740300
1973-12-14 23:00:00,,19740600,1.0001,19740300,,19740600
1973-12-17 23:00:00,,19740600,1.0001,19740300,,19740600
1973-12-18 23:00:00,,19740600,1.0001,19740300,,19740600
1973-12-19 23:00:00,,19740600,1.0001,19740300,,19740600
1973-12-20 23:00:00,,19740600,1.0001,19740300,,19740600
1973-12-21 23:00:00,,19740600,1.0001,19740300,,19740600
1973-12-26 23:00:00,,19740600,1.0001,19740300,,19740600
1973-12-27 23:00:00,,19740600,1.0001,19740300,,19740600
1973-12-28 23:00:00,,19740600,1.0001,19740300,,19740600
1973-12-31 23:00:00,,19740600,1.0001,19740300,,19740600
1974-01-02 23:00:00,,19740600,1.004,19740300,,19740600
1974-01-03 23:00:00,,19740600,1.005,19740300,,19740600
1974-01-04 23:00:00,,19740600,1.0067,19740300,,19740600
1974-01-07 23:00:00,,19740600,1.0067,19740300,,19740600
1974-01-08 23:00:00,,19740600,1.0067,19740300,,19740600
1974-01-09 23:00:00,,19740600,1.0067,19740300,,19740600
1974-01-10 23:00:00,,19740600,1.0067,19740300,,19740600
1974-01-11 23:00:00,,19740600,1.0067,19740300,,19740600
1974-01-14 23:00:00,,19740600,1.0083,19740300,,19740600
1974-01-15 23:00:00,,19740600,1.0083,19740300,,19740600
1974-01-16 23:00:00,,19740600,1.0083,19740300,,19740600
1974-01-17 23:00:00,,19740600,1.0082,19740300,,19740600
1974-01-18 23:00:00,,19740600,1.0082,19740300,,19740600
1974-01-21 23:00:00,,19740600,1.0082,19740300,,19740600
1974-01-22 23:00:00,,19740600,1.0082,19740300,,19740600
1974-01-23 23:00:00,,19740600,1.0082,19740300,,19740600
1974-01-24 23:00:00,,19740600,1.0082,19740300,,19740600
1974-01-25 23:00:00,,19740600,1.0109,19740300,,19740600
1974-01-28 23:00:00,,19740600,1.0123,19740300,,19740600
1974-01-29 23:00:00,,19740600,1.0146,19740300,,19740600
1974-01-30 23:00:00,,19740600,1.0129,19740300,,19740600
1974-01-31 23:00:00,,19740600,1.0125,19740300,,19740600
1974-02-01 23:00:00,,19740600,1.0125,19740300,,19740600
1974-02-04 23:00:00,,19740600,1.0125,19740300,,19740600
1974-02-05 23:00:00,,19740600,1.0175,19740300,,19740600
1974-02-06 23:00:00,,19740600,1.018,19740300,,19740600
1974-02-07 23:00:00,,19740600,1.0185,19740300,,19740600
1974-02-08 23:00:00,,19740600,1.0185,19740300,,19740600
1974-02-11 23:00:00,,19740600,1.02,19740300,,19740600
1974-02-12 23:00:00,,19740600,1.02,19740300,,19740600
1974-02-13 23:00:00,,19740600,1.026,19740300,,19740600
1974-02-14 23:00:00,,19740600,1.0295,19740300,,19740600
1974-02-15 23:00:00,,19740600,1.0275,19740300,,19740600
1974-02-19 23:00:00,,19740600,1.0275,19740300,,19740600
1974-02-20 23:00:00,,19740600,1.0265,19740300,,19740600
1974-02-21 23:00:00,,19740600,1.0265,19740300,,19740600
1974-02-22 23:00:00,,19740600,1.0265,19740300,,19740600
1974-02-25 23:00:00,,19740600,1.0265,19740300,,19740600
1974-02-26 23:00:00,,19740600,1.0265,19740300,,19740600
1974-02-27 23:00:00,,19740600,1.0265,19740300,,19740600
1974-02-28 23:00:00,,19740600,1.033,19740300,,19740600
1974-03-01 23:00:00,,19740600,1.0318,19740300,,19740600
1974-03-04 23:00:00,1.0315,19740600,1.0318,19740300,1.0315,19740600
